"Variable","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",8442.85312995207,17674.7043425558,0.477680020345461,0.647433522391102
"Experience",2651.03643168283,1626.89463461895,1.62950714525145,0.14722855063814
"Education_Years",3949.45637236426,1480.6647317054,2.66735357964214,0.0321227069817799
